1,almond,69
2,apple,65
3,avocado,59
4,bean,8
5,beef,18
6,bread,96
7,butter,55
8,carrot,91
9,cheese,93
10,chicken,13
11,cilantro,64
12,cinnamon,28
13,clove,4
14,cocoa,18
15,corn,29
16,cream,35
17,cucumber,9
18,currant,38
19,duck,5
20,egg,46
21,fish,39
22,flour,17
23,garlic,62
24,ginger,30
25,goose,24
26,hazelnut,0
27,honey,97
28,kombu,86
29,lemon,74
30,lentil,100
31,lime,19
32,macaroni,72
33,milk,17
34,mushroom,89
35,mustard,93
36,oil,64
37,onion,73
38,orange,56
39,paprika,84
40,parsley,27
41,pasta,72
42,peach,78
43,pecan,35
44,pepper,17
45,pistachio,33
46,pork,84
47,potato,84
48,powder,3
49,pumpkin,84
50,raisin,23
51,rice,49
52,rosemary,89
53,salt,2
54,sausage,30
55,shallot,9
56,soda,40
57,soy,34
58,sugar,22
59,tea,94
60,thyme,15
61,tomato,54
62,vanilla,100
63,vinegar,17
64,walnut,87
65,water,12
66,wine,82
67,yogurt,98